"CABLE LENGTH","EXPANDED","GENERATED","TIME","PATH-A-L","PATH-B-L","CABLE-L","PATH-A","PATH-B","CABLE"
"645","3","35","0.13809300000002622","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"650","3","35","0.13580309999997553","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"655","3","35","0.13741360000005898","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"660","3","35","0.13727449999998953","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"665","3","35","0.1443666000000121","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"670","3","35","0.13913399999989906","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"675","3","35","0.1389536000000362","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"680","3","35","0.13904679999996006","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"685","3","35","0.13620719999994435","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"690","3","35","0.1368661000000202","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
"695","3","35","0.1352775999999949","250.0","275.80618316798723","527.3803833158976","[R1, D1, D1]","[R2, O4-3, D2]","[D1, O0-0, O0-1, O1-1, O4-3, D2]"
